animal,Block,OD
13S44S9EO,1,1.014996815
13S44S9EO,2,1.118133618
13S44S9EO,3,0.975752097
271Y,1,0.745818703
271Y,2,0.267702542
271Y,3,-0.236911874
2111F7LW,1,0.959935603
2111F7LW,2,1.047486737
2111F7LW,3,0.898636276
27420LC,1,0.181053877
27420LC,2,0.39510816
27420LC,3,0.453198803
2745SW,1,0.896689143
2745SW,2,1.06127796
2745SW,3,0.348875295
83254,1,1.024344498
83254,2,1.113019003
83254,3,0.983896934
AR03918O1,1,0.121763195
AR03918O1,2,0.759048067
AR03918O1,3,0.662909804
AR05S1,1,0.369047703
AR05S1,2,0.322350032
AR05618O1,1,1.031358932
AR05618O1,2,1.14450493
AR05618O1,3,0.969686281
ASARM61,1,1.028378883
ASARM61,2,1.088857588
ASARM61,3,0.963089923
ASARM70,1,1.028546108
ASARM70,2,1.127248599
ASARM70,3,0.969070801
ASARM71,1,1.034268354
ASARM71,2,1.116174216
ASARM71,3,0.960140084
ASARM72,1,0.414334503
ASARM72,2,1.116489962
ASARM72,3,0.973174569
ASARM73,1,1.02626369
ASARM73,2,1.135514469
ASARM73,3,0.966474088
ASARM74,1,0.943834818
ASARM74,2,1.071090656
ASARM74,3,0.982590317
B128S3,1,1.025025078
B128S3,2,1.130457358
B128S3,3,0.971266788
B142S1,1,1.028834927
B142S1,2,1.150034893
B142S1,3,0.966712141
DAR04181C1,1,0.711237935
DAR04181C1,2,1.134953918
DAR04181C1,3,0.96605384
DAR06181LC1,1,1.027625361
DAR06181LC1,2,1.128761415
DAR06181LC1,3,0.906268031
DAR091813,1,0.282610873
DAR091813,2,0.689783466
DAR091813,3,0.55026019
DEU1,1,1.02275121
DEU1,2,1.11581333
DEU1,3,0.97152052
DEU2,1,1.006271931
DEU2,2,1.113848093
DEU2,3,0.971996946
EOE023,1,1.023863174
EOE023,2,1.131086546
EOE023,3,0.949563284
EOE003,1,1.024606166
EOE003,2,1.111927703
EOE003,3,0.964724964
EOE030,1,1.025785272
EOE030,2,1.107898482
EOE030,3,0.974533749
EOE035,1,1.017837215
EOE035,2,1.120259553
EOE035,3,0.97220069
EOE041,1,0.425514843
EOE041,2,1.120174767
EOE041,3,0.981317513
EOE042,1,1.030151055
EOE042,2,1.128112168
EOE042,3,0.961086896
HU25,1,1.009328168
HU25,2,0.792622598
HU25,3,0.796250448
JW30866OBHY3,1,1.013350597
JW30866OBHY3,2,1.071185379
JW30866OBHY3,3,0.942437881
JW31330LBHY2,1,1.022166693
JW31330LBHY2,2,1.139592514
JW31330LBHY2,3,0.966357381
JW31330OBHY1,1,1.020389455
JW31330OBHY1,2,1.135777868
JW31330OBHY1,3,0.968575375
JW32660O5,1,0.521896272
JW32660O5,2,1.04447731
JW32660O5,3,0.07433884
MU1,1,0.774769148
MU1,2,1.119701743
MU1,3,0.965738687
MU2,1,0.958091278
MU2,2,1.119772759
MU2,3,0.962637178
P32,2,0.509179335
P32,3,-0.916416453
82B,1,0.498627649
82B,2,1.113958933
82B,3,-0.041107196
DSM104441,1,1.001048941
DSM104441,2,1.120415133
DSM104441,3,0.850619219
NCTC11047,1,0.723889474
NCTC11047,2,0.971429291
NCTC11047,3,0.33817091
NCTC11042,1,0.731857005
NCTC11042,2,0.937897935
NCTC11042,3,0.678707894
NCTC11320,1,0.394226252
NCTC11320,2,0.931573376
NCTC11320,3,0.006589164
DSM21284,1,0.241652911
DSM21284,2,0.335633592
DSM21284,3,0.112118834
DSM107950,1,0.55792441
DSM107950,2,0.780956295
DSM107950,3,-0.712790414
DSM18669,1,0.245522165
DSM18669,2,0.402367159
DSM18669,3,0.109798987
NCTC7292,1,0.691166335
NCTC7292,2,0.300067094
NCTC7292,3,0.570654543
NCTC12218,1,0.306848279
NCTC12218,2,0.904612692
NCTC12218,3,0.334351861
DSM6628,1,-0.399565629
DSM6628,2,0.849021018
DSM6628,3,0.308785152
NCTC11046,1,0.816175842
NCTC11046,2,0.828478471
NCTC11046,3,0.60962326
NCTC11043,1,0.193794072
NCTC11043,2,0.562305657
NCTC11043,3,-0.060696268
SaTPS3026,1,0.425316816
SaTPS3026,2,0.276450246
SaTPS3026,3,0.959025024
SaTPS3043,1,1.024430148
SaTPS3043,2,1.074765906
SaTPS3043,3,0.924461352
SaTPS3072,1,0.978440821
SaTPS3072,2,0.059716107
SaTPS3072,3,0.630179696
SaTPS3097,1,0.602889862
SaTPS3097,2,0.105887877
SaTPS3097,3,0.93340235
SaTPS3104,1,0.352722168
SaTPS3104,2,1.095748247
SaTPS3104,3,0.919688779
SaTPS3105,1,0.588121802
SaTPS3105,2,0.772703539
SaTPS3105,3,0.207016276
SAR1018S1,1,1.038395081
SAR1018S1,2,1.117157776
SAR1018S1,3,0.692957531
SAR1218N1,1,0.355857124
SAR1218N1,2,0.13525166
SAR1218N1,3,0.058896351
SAR1418N1,1,1.034544329
SAR1418N1,2,1.061842198
SAR1418N1,3,0.984215763
USFL008,1,1.036988885
USFL008,2,1.037099173
USFL008,3,0.855588278
USFL009,1,1.028963638
USFL009,2,0.766148345
USFL009,3,0.509026812
USFL012,1,1.012803074
USFL012,2,1.05554705
USFL012,3,0.954634524
USFL016,1,0.97314796
USFL016,2,0.845888931
USFL016,3,0.959880849
USFL018,1,0.126839733
USFL018,2,0.527057034
USFL018,3,-0.302760852
USFL020,1,1.01330853
USFL020,2,1.041554595
USFL020,3,0.88008708
